title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Made in France,"$9,956",N/A,"$9,956",Under The Milky Way,"$3,688",2 theaters,N/A,N/A,"Crime, Drama, Thriller","Sep 23, 2016"
Realms,$147,"$22,296","$22,443",The Film Arcade,$108,3 theaters,N/A,R,"Horror, Mystery","Sep 7, 2018"
Postcards from London,"$5,312","$10,236","$15,548",Strand Releasing,"$2,686",1 theater,N/A,N/A,Drama,"Nov 9, 2018"
Over the Limit,"$3,243",N/A,"$3,243",Film Movement,"$1,402",2 theaters,N/A,N/A,"Documentary, Sport","Oct 12, 2018"
Tall Tales from the Magical Garden of Antoon Krings,$220,"$14,340,506","$14,340,726",Viva Pictures,N/A,20 theaters,N/A,PG,"Adventure, Animation, Comedy, Family","Jan 11, 2019"
1945,"$1,006,193","$234,470","$1,240,663",Menemsha Films,"$20,365",19 theaters,N/A,N/A,Drama,"Nov 1, 2017"
Henchmen,"$1,469","$39,572","$41,041",Entertainment One,$580,3 theaters,N/A,N/A,"Animation, Comedy, Family, Fantasy","Dec 7, 2018"
A Breath Away,"$77,987","$2,764,053","$2,842,040",Entertainment One,"$16,046",12 theaters,N/A,N/A,"Drama, Mystery, Sci-Fi, Thriller","Aug 10, 2018"
In Safe Hands,"$1,737","$7,084,859","$7,086,596",Distrib Films,$348,1 theater,N/A,N/A,"Drama, Family","Jul 26, 2019"
Sgt. Stubby: An American Hero,"$4,015,935","$916,759","$4,932,694",Fun Academy Motion Pictures,"$1,164,403","1,633 theaters",N/A,PG,"Adventure, Animation, Family, History, War","Apr 13, 2018"
I Am Not A Witch,"$50,868","$131,594","$182,462",Film Movement,"$8,252",8 theaters,N/A,N/A,"Comedy, Drama","Sep 7, 2018"
Swimming with Men,"$24,708","$1,353,040","$1,377,748",IFC Films,"$10,336",31 theaters,N/A,N/A,"Comedy, Drama, Romance, Sport","Dec 7, 2018"
Senso,"$27,723",N/A,"$27,723",Rialto Pictures,"$3,984",2 theaters,N/A,N/A,"Drama, History, Romance, War","Oct 26, 2018"
The Untold Story,$790,N/A,$790,Ammo Content,$790,1 theater,N/A,N/A,"Comedy, Drama","Jan 18, 2019"
Narcissister Organ Player,"$15,334",N/A,"$15,334",Film Movement,"$1,983",4 theaters,N/A,N/A,Documentary,"Nov 7, 2018"
Chinese Portrait,"$4,140",N/A,"$4,140",The Cinema Guild,$546,2 theaters,N/A,N/A,Documentary,"Dec 13, 2019"
Never-Ending Man: Hayao Miyazaki,"$187,320",N/A,"$187,320",GKIDS,"$10,238",377 theaters,N/A,N/A,"Biography, Documentary","Dec 13, 2018"
The Hours and Times,"$1,273",N/A,"$1,273",Oscilloscope,"$1,273",1 theater,N/A,N/A,"Drama, Music","Mar 1, 2019"
Serendipity,"$2,298",N/A,"$2,298",Cohen Media Group,"$1,156",2 theaters,N/A,N/A,Documentary,"Oct 18, 2019"
Indivisible,"$3,511,417","$78,216","$3,589,633",Pure Flix Entertainment,"$1,503,101",830 theaters,N/A,PG-13,"Drama, War","Oct 26, 2018"
For Those Who Don't Read Me,"$36,506",N/A,"$36,506",Entertainment One,"$9,263",6 theaters,N/A,N/A,Drama,"Nov 23, 2018"
American Playhouse: The Killing Floor,"$1,583",N/A,"$1,583",Film Movement,"$1,583",1 theater,N/A,N/A,"Comedy, Drama, Romance, Sci-Fi","Nov 22, 2019"
Game Day,"$1,624",N/A,"$1,624",Ammo Content,"$1,624",4 theaters,N/A,N/A,"Comedy, Drama","Oct 4, 2019"
Little Q,"$1,652","$16,358,581","$16,360,233",Well Go USA Entertainment,"$1,652",1 theater,N/A,N/A,Drama,"Dec 6, 2019"
A Fish in the Bathtub,"$1,237",N/A,"$1,237",Cohen Media Group,"$1,237",3 theaters,N/A,PG-13,Comedy,"Nov 8, 2019"
Division 19,"$1,699",$981,"$2,680",Uncork'd Entertainment,N/A,10 theaters,N/A,N/A,"Action, Sci-Fi, Thriller","Apr 5, 2019"
A German Youth,"$2,343",N/A,"$2,343",Big World Pictures,$416,1 theater,N/A,N/A,Documentary,"Oct 11, 2019"
Divide and Conquer,"$38,510",N/A,"$38,510",Magnolia Pictures,"$18,833",16 theaters,N/A,N/A,Documentary,"Dec 7, 2018"
Jihadists,"$2,104",N/A,"$2,104",Cinema Libre Studio,$824,1 theater,N/A,N/A,"Documentary, War","Jan 25, 2019"
Detour,"$16,172",N/A,"$16,172",Janus Films,"$5,127",1 theater,N/A,N/A,"Crime, Drama, Film-Noir","Nov 30, 2018"
Tea With the Dames,"$889,343","$2,291,809","$3,181,152",IFC Films,"$14,777",71 theaters,N/A,N/A,Documentary,"Sep 21, 2018"
Iceman,"$2,138","$4,581","$6,719",Film Movement,"$1,372",7 theaters,N/A,N/A,"Adventure, Drama","Mar 15, 2019"
I Lost Albert,"$2,354",N/A,"$2,354",Distrib Films,"$2,354",1 theater,N/A,N/A,Comedy,"Oct 4, 2019"
TINY: The Life of Erin Blackwell,"$2,465",N/A,"$2,465",Janus Films,"$1,631",1 theater,N/A,N/A,Documentary,"Jul 19, 2019"
Joan the Maid 1: The Battles,"$2,562",N/A,"$2,562",Cohen Media Group,"$1,229",1 theater,N/A,N/A,"Biography, Drama, History, War","Aug 2, 2019"
Chef Flynn,"$68,407","$1,135","$69,542",Kino Lorber,"$7,509",10 theaters,N/A,N/A,Documentary,"Nov 9, 2018"
"No Date, No Signature","$36,444","$70,924","$107,368",Distrib Films,"$4,993",3 theaters,N/A,N/A,"Drama, Mystery, Thriller","Aug 1, 2018"
L'héritage de la chouette,"$12,316",N/A,"$12,316",Icarus Films,N/A,1 theater,N/A,N/A,"Documentary, History","Nov 9, 2018"
The Kindness of Strangers,"$2,705","$80,337","$83,042",eOne Entertainment,$839,3 theaters,N/A,N/A,Drama,"Dec 6, 2019"
Back to the Fatherland,"$2,697",N/A,"$2,697",First Run,"$1,312",1 theater,N/A,N/A,Documentary,"Jun 14, 2019"
Filmworker,"$102,609","$10,219","$112,828",Kino Lorber,"$7,984",17 theaters,N/A,N/A,"Biography, Documentary","May 11, 2018"
100 Acres of Hell,"$5,152",N/A,"$5,152",Indican Pictures,$997,1 theater,N/A,N/A,"Action, Crime, Horror, Mystery, Thriller","Oct 11, 2019"
Chasing Portraits,"$3,076",N/A,"$3,076",First Run,"$1,708",1 theater,N/A,N/A,"Documentary, History","Apr 26, 2019"
A Cool Fish,"$551,876","$117,601,259","$118,153,135",China Lion Film Distribution,"$71,187",36 theaters,N/A,N/A,Comedy,"Nov 16, 2018"
Bauhaus Spirit: 100 Years of Bauhaus,"$17,122","$10,646","$27,768",Icarus Films,N/A,2 theaters,N/A,N/A,Documentary,"Feb 10, 2019"
Another Day of Life,"$3,190","$131,611","$134,801",GKIDS,"$1,691",2 theaters,N/A,N/A,"Animation, Biography","Sep 13, 2019"
The Wandering Soap Opera,"$3,624",N/A,"$3,624",The Cinema Guild,$512,2 theaters,N/A,N/A,"Comedy, Drama, Fantasy","May 17, 2019"
Rottentail,"$3,383",N/A,"$3,383",Ammo Content,"$2,256",3 theaters,N/A,N/A,"Comedy, Horror","Apr 12, 2019"
Wallflower,"$3,801",N/A,"$3,801",Passion River Films,"$2,378",7 theaters,N/A,N/A,"Crime, Drama, Music","Oct 4, 2019"
Crown Vic,"$3,868",N/A,"$3,868",Screen Media Films,"$2,468",1 theater,N/A,R,"Action, Crime, Drama, Mystery, Thriller","Nov 8, 2019"
Mother of a Day,"$3,919",N/A,"$3,919",Sumbadhat Productions,"$2,672",1 theater,N/A,N/A,Family,"May 4, 2019"
The Gliksmans,"$5,166",N/A,"$5,166",Indican Pictures,"$2,922",3 theaters,N/A,N/A,Comedy,"Sep 27, 2019"
La Flor,"$4,032",N/A,"$4,032",Grasshopper Film,"$2,308",1 theater,N/A,N/A,"Drama, Fantasy, Musical, Mystery, Romance, Thriller","Aug 9, 2019"
State Like Sleep,"$4,282",N/A,"$4,282",The Orchard,"$2,813",10 theaters,N/A,N/A,Drama,"Jan 4, 2019"
The Fate of Lee Khan,"$4,295",N/A,"$4,295",Film Movement,"$1,648",3 theaters,N/A,N/A,"Action, Drama","Apr 5, 2019"
Tito and the Birds,"$4,332",N/A,"$4,332",Shout! Factory,N/A,6 theaters,N/A,N/A,"Action, Animation, Drama, Family, Fantasy, Sci-Fi","Jan 25, 2019"
I'm Leaving Now,"$4,488",N/A,"$4,488",The Cinema Guild,"$1,255",1 theater,N/A,N/A,Documentary,"Sep 6, 2019"
SGT. Will Gardner,"$4,405",N/A,"$4,405",Cinedigm Entertainment Group,N/A,12 theaters,N/A,N/A,"Action, Adventure, Drama, War","Jan 11, 2019"
At War,"$4,605","$2,230,447","$2,235,052",Cinema Libre Studio,"$1,405",1 theater,N/A,N/A,Drama,"Jul 19, 2019"
Sicilian Ghost Story,"$15,285","$189,607","$204,892",Strand Releasing,"$4,324",3 theaters,N/A,N/A,"Crime, Drama, Fantasy, Mystery, Romance","Nov 30, 2018"
Slaughterhouse Rulez,"$4,665","$726,097","$730,762",Sony Pictures Entertainment (SPE),"$2,145",10 theaters,N/A,R,"Action, Comedy, Fantasy, Horror, Thriller","May 17, 2019"
Kaili Blues,"$32,164","$903,072","$935,236",Grasshopper Film,"$4,164",4 theaters,N/A,N/A,"Drama, Mystery","May 20, 2016"
What You Gonna Do When the World's on Fire?,"$4,672","$39,618","$44,290",KimStim,N/A,1 theater,N/A,N/A,Documentary,"Aug 16, 2019"
Ballet Blanc,"$4,832",N/A,"$4,832",Indican Pictures,"$1,894",2 theaters,N/A,N/A,"Drama, Horror, Mystery","Nov 8, 2019"
Crepitus,"$4,846",N/A,"$4,846",Indican Pictures,"$1,790",2 theaters,N/A,N/A,Horror,"Oct 31, 2019"
Malek,"$4,898",N/A,"$4,898",Entertainment One,"$2,226",4 theaters,N/A,N/A,Drama,"Jan 18, 2019"
Un traductor,"$13,509","$64,566","$78,075",Film Movement,"$4,412",2 theaters,N/A,N/A,Drama,"Oct 19, 2018"
Chulas Fronteras,"$5,021",N/A,"$5,021",Argot Pictures,"$3,548",1 theater,N/A,N/A,"Documentary, Music","Jun 28, 2019"
The Garden,"$5,006",N/A,"$5,006",Kino Lorber,"$1,141",1 theater,N/A,N/A,Drama,"May 29, 2019"
Intuitions,"$10,606",N/A,"$10,606",Indican Pictures,"$3,407",3 theaters,N/A,N/A,"Romance, Thriller","Oct 25, 2019"
Cold Blood,"$5,083","$1,004,805","$1,009,888",Screen Media Films,"$3,450",25 theaters,N/A,N/A,"Action, Thriller","Jul 5, 2019"
Body at Brighton Rock,"$5,123",N/A,"$5,123",Magnolia Pictures,"$1,732",9 theaters,N/A,R,"Horror, Mystery, Thriller","Apr 26, 2019"
Chokehold,"$5,200",N/A,"$5,200",Ammo Content,"$5,200",3 theaters,N/A,N/A,"Action, Crime, Drama","Mar 1, 2019"
Anna and the Apocalypse,"$545,597","$127,926","$673,523",Orion Pictures,"$52,588",138 theaters,N/A,R,"Comedy, Horror, Musical","Nov 30, 2018"
Spiral Farm,"$6,517",N/A,"$6,517",Indican Pictures,"$5,475",3 theaters,N/A,N/A,Drama,"Dec 13, 2019"
Halloween,"$159,342,015","$96,143,163","$255,485,178",Universal Pictures,"$76,221,545","3,990 theaters","$10,000,000",R,"Crime, Horror, Thriller","Oct 19, 2018"
The Miracle of the Little Prince,"$5,553",N/A,"$5,553",Film Movement,"$2,643",1 theater,N/A,N/A,Documentary,"Aug 28, 2019"
Série noire,"$5,633",N/A,"$5,633",Rialto Pictures,"$2,088",1 theater,N/A,N/A,"Crime, Drama","Sep 27, 2019"
Love Goes Public,"$5,738",N/A,"$5,738",Aspiration Entertainment,"$5,700",N/A,N/A,N/A,Documentary,"Oct 25, 2019"
The Meanest Man in Texas,"$8,850",N/A,"$8,850",Ammo Content,"$5,750",3 theaters,N/A,N/A,"Biography, Drama, History","May 17, 2019"
Kedarnath,"$901,131","$13,098,166","$13,999,297",PackYourBag Films,"$407,118",113 theaters,N/A,N/A,"Drama, Romance","Dec 7, 2018"
The Hottest August,"$9,163",N/A,"$9,163",Grasshopper Film,"$3,883",2 theaters,N/A,N/A,Documentary,"Nov 15, 2019"
Relaxer,"$6,133",N/A,"$6,133",Oscilloscope,N/A,5 theaters,N/A,N/A,"Comedy, Fantasy, Horror","Mar 29, 2019"
The Golden Glove,"$6,160","$598,319","$604,479",Strand Releasing,"$2,300",5 theaters,N/A,N/A,"Crime, Drama, Horror, Thriller","Sep 27, 2019"
To Be of Service,"$6,173",N/A,"$6,173",First Run,"$1,904",1 theater,N/A,N/A,Documentary,"Nov 1, 2019"
Under the Eiffel Tower,"$6,291",N/A,"$6,291",The Orchard,"$3,957",11 theaters,N/A,N/A,"Comedy, Romance","Feb 8, 2019"
Patrick the Pug,"$6,290","$3,363,178","$3,369,468",Independent,"$1,378",100 theaters,N/A,N/A,"Comedy, Family, Romance","Feb 15, 2019"
Of Fathers and Sons,"$12,579",N/A,"$12,579",Kino Lorber,$340,6 theaters,N/A,N/A,"Documentary, War","Nov 16, 2018"
"Monrovia, Indiana","$63,944",$652,"$64,596",Zipporah Films,"$5,172",14 theaters,N/A,N/A,Documentary,"Oct 26, 2018"
"One Nation, One King","$6,576","$2,475,105","$2,481,681",Distrib Films,$595,5 theaters,N/A,N/A,"Drama, History","Feb 28, 2019"
Hollywould,"$11,888",N/A,"$11,888",Indican Pictures,"$5,290",2 theaters,N/A,N/A,"Crime, Mystery, Thriller","Nov 15, 2019"
Dying to Survive,"$6,752",N/A,"$6,752",China Lion Film Distribution,"$3,238",2 theaters,N/A,N/A,"Comedy, Drama","Aug 9, 2019"
Going Attractions: The Definitive Story of the Movie Palace,"$6,763",N/A,"$6,763",Passion River Films,$803,6 theaters,N/A,N/A,"Documentary, Family, History","Oct 24, 2019"
Rosie,"$6,839","$118,480","$125,319",Blue Fox Entertainment,"$2,942",2 theaters,N/A,PG-13,Drama,"Jul 19, 2019"
Genesis,"$6,784","$7,072","$13,856",Film Movement,"$2,585",2 theaters,N/A,N/A,Drama,"Aug 23, 2019"
Border,"$771,930","$1,405,748","$2,177,678",Neon,"$73,700",74 theaters,N/A,R,"Crime, Drama, Fantasy, Romance, Thriller","Oct 26, 2018"
Beloved Beast,"$7,301",N/A,"$7,301",Indican Pictures,"$3,894",3 theaters,N/A,N/A,Horror,"Oct 11, 2019"
Life and Nothing More,"$24,358","$16,223","$40,581",CFI Releasing,"$6,536",6 theaters,N/A,N/A,Drama,"Oct 24, 2018"
King of Thieves,"$7,518","$11,345,997","$11,353,515",Saban Films,"$3,502",11 theaters,N/A,R,"Biography, Crime, Drama, History","Jan 25, 2019"
I'll Take Your Dead,"$10,523",N/A,"$10,523",Breakthrough Entertainment,"$1,963",5 theaters,N/A,N/A,Horror,"Jul 5, 2019"
Gregory's Girl,"$7,710",N/A,"$7,710",Film Movement,"$4,185",1 theater,N/A,N/A,"Comedy, Drama, Romance","Oct 4, 2019"
The Plagiarists,"$7,768",N/A,"$7,768",KimStim,"$4,577",1 theater,N/A,N/A,Drama,"Jun 28, 2019"
This Magnificent Cake!,"$7,888",N/A,"$7,888",GKIDS,$991,2 theaters,N/A,N/A,"Animation, Comedy, Drama, Family, History, Mystery, Short","Mar 1, 2019"
Ghost Fleet,"$7,850",N/A,"$7,850",Abramorama,N/A,7 theaters,N/A,N/A,Documentary,"Jun 7, 2019"
Grass,"$8,084","$45,419","$53,503",The Cinema Guild,"$2,774",2 theaters,N/A,N/A,Drama,"Apr 19, 2019"
Wings of Desire,"$123,830",N/A,"$123,830",Janus Films,"$12,885",4 theaters,N/A,N/A,"Drama, Fantasy, Romance","Oct 19, 2018"
The Etruscan Smile,"$8,213",N/A,"$8,213",Lightyear Entertainment,"$6,729",4 theaters,N/A,R,Drama,"Nov 8, 2019"
Line of Duty,"$8,207","$638,182","$646,389",Saban Films,"$4,034",12 theaters,N/A,R,"Action, Crime, Thriller","Nov 15, 2019"
The Dead Center,"$8,320",N/A,"$8,320",Arrow Films,"$5,325",10 theaters,N/A,N/A,"Horror, Mystery, Thriller","Oct 11, 2019"
Colossal Youth,"$8,331",$637,"$8,968",Giant Steps Productions,N/A,1 theater,N/A,N/A,"Comedy, Drama, Romance","Aug 3, 2018"
Frantz Fanon: Black Skin White Mask,"$9,025",N/A,"$9,025",Film Movement,"$3,278",1 theater,N/A,N/A,"Biography, Documentary","Mar 15, 2019"
Cracked Up,"$9,197",N/A,"$9,197",Abramorama,"$5,310",1 theater,N/A,N/A,Documentary,"Sep 13, 2019"
When Lambs Become Lions,"$9,337",$860,"$10,197",Oscilloscope,"$3,155",2 theaters,N/A,N/A,Documentary,"Nov 22, 2019"
Studio 54,"$199,767","$27,295","$227,062",Zeitgeist Films,"$14,909",14 theaters,N/A,N/A,"Documentary, History, Music","Oct 5, 2018"
The Spanish Prisoner,"$9,589",N/A,"$9,589",Ammo Content,"$2,679",1 theater,N/A,PG,"Drama, Mystery, Thriller","Apr 26, 2019"
Fritz Lang's Indian Epic,"$9,345",N/A,"$9,345",Film Movement,"$4,401",1 theater,N/A,N/A,N/A,"Sep 27, 2019"
Tyrel,"$21,456",N/A,"$21,456",Magnolia Pictures,"$6,059",5 theaters,N/A,N/A,"Comedy, Drama","Dec 7, 2018"
Streetwise,"$9,904",N/A,"$9,904",Janus Films,"$5,006",1 theater,N/A,N/A,"Documentary, Drama","Jul 19, 2019"
Around India with a Movie Camera,"$10,389","$1,179","$11,568",Icarus Films,$183,1 theater,N/A,N/A,Documentary,"Nov 30, 2018"
Olivia,"$9,934",N/A,"$9,934",Icarus Films,"$3,948",3 theaters,N/A,N/A,"Comedy, Drama","Aug 16, 2019"
Round of Your Life,"$20,941",N/A,"$20,941",Ammo Content,"$4,336",9 theaters,N/A,N/A,"Family, Sport","Jun 21, 2019"
The Eyes of Orson Welles,"$10,253","$58,075","$68,328",Janus Films,"$2,372",2 theaters,N/A,N/A,Documentary,"Mar 15, 2019"
Daughter of Mine,"$10,628","$368,382","$379,010",Strand Releasing,"$5,447",2 theaters,N/A,N/A,Drama,"Feb 1, 2019"
Angels Are Made Of Light,"$7,919",N/A,"$7,919",Grasshopper Film,"$1,707",2 theaters,N/A,N/A,Documentary,"Jul 26, 2019"
Shooting the Mafia,"$10,881","$23,003","$33,884",Cohen Media Group,"$3,251",3 theaters,N/A,N/A,"Biography, Documentary","Nov 22, 2019"
Duet for Cannibals,"$12,962",N/A,"$12,962",Metrograph Pictures,N/A,4 theaters,N/A,N/A,Drama,"Nov 22, 2019"
If the Dancer Dances,"$10,912",N/A,"$10,912",Monument Releasing,"$5,000",6 theaters,N/A,N/A,Documentary,"Apr 26, 2019"
16 Bars,"$10,985",N/A,"$10,985",Lightyear Entertainment,"$2,662",4 theaters,N/A,N/A,Documentary,"Nov 8, 2019"
Suburban Birds,"$10,997",N/A,"$10,997",The Cinema Guild,"$3,207",3 theaters,N/A,N/A,Drama,"Apr 5, 2019"
Ferrante Fever,"$11,137","$3,381","$14,518",Greenwich Entertainment,"$3,509",3 theaters,N/A,N/A,Documentary,"Mar 8, 2019"
I Do Not Care If We Go Down in History as Barbarians,"$11,307","$27,864","$39,171",Big World Pictures,"$2,083",2 theaters,N/A,N/A,"Comedy, Drama","Jul 19, 2019"
Made Me Do It,"$11,151",N/A,"$11,151",Indican Pictures,"$3,842",2 theaters,N/A,N/A,"Drama, Fantasy, Horror, Thriller","Apr 12, 2019"
In Like Flynn,"$11,255",N/A,"$11,255",Blue Fox Entertainment,"$6,646",27 theaters,N/A,R,"Action, Adventure","Jan 25, 2019"
Between the Lines,"$15,383",N/A,"$15,383",Cohen Media Group,N/A,18 theaters,N/A,N/A,"Comedy, Drama, Romance","Feb 22, 2019"
Yomeddine,"$11,308","$69,722","$81,030",Strand Releasing,"$4,013",4 theaters,N/A,N/A,"Adventure, Comedy, Drama","May 31, 2019"
That Part Feeling - the Universe of Arvo Part,"$8,812",N/A,"$8,812",Film Movement,N/A,3 theaters,N/A,N/A,Documentary,"Jun 3, 2019"
Vision Portraits,"$10,771",N/A,"$10,771",Stimulus Pictures,N/A,3 theaters,N/A,N/A,Documentary,"Aug 9, 2019"
Stuffed,"$15,532",N/A,"$15,532",Music Box Films,"$1,602",3 theaters,N/A,N/A,Documentary,"Oct 16, 2019"
The Disappearance of My Mother,"$24,951","$58,979","$83,930",Kino Lorber,N/A,3 theaters,N/A,N/A,Documentary,"Dec 6, 2019"
The Charmer,"$26,167","$80,212","$106,379",Film Movement,"$4,128",3 theaters,N/A,N/A,"Drama, Romance, Thriller","Dec 5, 2018"
Liyana,"$44,045",N/A,"$44,045",Abramorama,"$2,160",4 theaters,N/A,N/A,"Animation, Documentary","Oct 10, 2018"
Quartet,"$12,042",N/A,"$12,042",Cohen Media Group,"$5,150",1 theater,N/A,N/A,"Drama, Romance","May 3, 2019"
"Cassandro, The Exotico!","$11,897",N/A,"$11,897",Film Movement,"$2,269",4 theaters,N/A,N/A,Documentary,"Jul 19, 2019"
Imprisoned,"$12,050",N/A,"$12,050",Cinema Libre Studio,"$4,381",2 theaters,N/A,R,"Drama, Thriller","Sep 13, 2019"
Zen for Nothing,"$12,107",N/A,"$12,107",Zeitgeist Films,"$1,268",4 theaters,N/A,N/A,Documentary,"Mar 29, 2019"
Bricked,"$12,201",N/A,"$12,201",GathrFilms,N/A,7 theaters,N/A,N/A,Drama,"Jan 24, 2019"
Journey to the South Pacific,"$7,653,913","$7,340,963","$14,994,876",IMAX,"$8,137",19 theaters,N/A,G,"Documentary, Short","Nov 27, 2013"
The White Sheik,"$50,850","$18,090","$68,940",Rialto Pictures,"$5,562",3 theaters,N/A,N/A,"Comedy, Drama","Dec 25, 2019"
Off Season,"$12,544",N/A,"$12,544",Indican Pictures,"$2,536",2 theaters,N/A,N/A,"Drama, Thriller","Mar 15, 2019"
The Woman Who Loves Giraffes,"$113,858",N/A,"$113,858",Zeitgeist Films,"$1,810",22 theaters,N/A,N/A,Documentary,"Oct 4, 2019"
Rapid Response,"$13,294",N/A,"$13,294",Atlas Distribution Company,"$4,497",10 theaters,N/A,PG-13,Documentary,"Sep 6, 2019"
Hagazussa,"$13,253","$8,234","$21,487",Doppelganger Releasing,"$6,041",14 theaters,N/A,N/A,"Drama, Horror","Apr 19, 2019"
The House with a Clock in Its Walls,"$68,549,695","$62,907,452","$131,457,147",Universal Pictures,"$26,608,020","3,592 theaters","$42,000,000",PG,"Comedy, Family, Fantasy, Sci-Fi","Sep 21, 2018"
The Cat Rescuers,"$31,540",N/A,"$31,540",Balcony Releasing,"$4,252",3 theaters,N/A,N/A,Documentary,"Jul 5, 2019"
First Man,"$44,936,545","$60,760,870","$105,697,415",Universal Pictures,"$16,006,065","3,640 theaters","$59,000,000",PG-13,"Biography, Drama, History","Oct 12, 2018"
This One's for the Ladies,"$13,688",N/A,"$13,688",Super,"$13,688",21 theaters,N/A,NC-17,Documentary,"Jun 7, 2019"
My Son,"$14,450",N/A,"$14,450",Cohen Media Group,"$4,750",5 theaters,N/A,N/A,"Drama, Thriller","May 10, 2019"
Screwball,"$13,967",N/A,"$13,967",Greenwich Entertainment,"$8,595",13 theaters,N/A,N/A,Documentary,"Mar 29, 2019"
Touch Me Not,"$13,782","$61,725","$75,507",Kino Lorber,"$5,616",1 theater,N/A,N/A,Drama,"Jan 11, 2019"
Boy Erased,"$6,788,692","$5,064,389","$11,853,081",Focus Features,"$207,057",672 theaters,N/A,R,"Biography, Drama",N/A
Combat Obscura,"$14,242",N/A,"$14,242",Oscilloscope,"$10,112",11 theaters,N/A,N/A,Documentary,"Mar 15, 2019"
The Competition,"$15,622",N/A,"$15,622",Metrograph Pictures,N/A,7 theaters,N/A,N/A,Documentary,"Feb 22, 2019"
Our Time,"$14,777","$31,656","$46,433",Monument Releasing,"$3,000",4 theaters,N/A,N/A,Drama,"Jun 14, 2019"
Frank and Ava,"$18,829",N/A,"$18,829",Hannover House,"$3,080",3 theaters,N/A,N/A,"Biography, Drama, History","Dec 7, 2018"
ZZ Top: That Little Ol' Band from Texas,"$14,879",N/A,"$14,879",Abramorama,N/A,8 theaters,N/A,N/A,"Biography, Documentary, Music","Aug 19, 2019"
Wrinkles the Clown,"$14,938",N/A,"$14,938",Magnolia Pictures,"$28,248",21 theaters,N/A,N/A,"Comedy, Documentary, Horror, Mystery","Oct 4, 2019"
El Angel,"$109,608","$5,495,072","$5,604,680",The Orchard,"$23,348",11 theaters,N/A,N/A,"Biography, Crime, Drama","Nov 9, 2018"
Funan,"$15,152",N/A,"$15,152",GKIDS,"$1,871",5 theaters,N/A,N/A,"Animation, War","Jun 7, 2019"
Midnight Family,"$42,310","$9,402","$51,712",1091 Media,"$3,030",13 theaters,N/A,N/A,"Action, Crime, Documentary, Drama","Dec 6, 2019"
Galapagos,"$18,630,372","$10,718,800","$29,349,172",IMAX,N/A,14 theaters,N/A,N/A,"Documentary, Short","Oct 29, 1999"
Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712",N/A,"$15,712",Atlas Distribution Company,"$14,853",95 theaters,N/A,R,"Action, Animation, Comedy, Fantasy, Romance","Mar 29, 2019"
A Private War,"$1,633,208","$2,281,999","$3,915,207",Aviron Pictures,"$60,491",865 theaters,N/A,R,"Biography, Drama, War",N/A
Airpocalypse,"$105,678","$18,385,411","$18,491,089",China Lion Film Distribution,"$35,363",21 theaters,N/A,N/A,"Action, Adventure, Comedy, Fantasy","Dec 21, 2018"
To the Arctic 3D,"$14,560,838","$9,134,550","$23,695,388",Warner Bros.,"$270,228",52 theaters,N/A,G,"Documentary, Short","Apr 20, 2012"
Little Joe,"$23,862","$177,689","$201,551",Magnolia Pictures,"$10,626",12 theaters,N/A,N/A,"Drama, Horror, Mystery, Sci-Fi","Dec 6, 2019"
Starfish,"$15,849",N/A,"$15,849",Yellow Veil Pictures,N/A,6 theaters,N/A,N/A,"Drama, Sci-Fi","Mar 15, 2019"
Piercing,"$15,856","$133,355","$149,211",Greenwich Entertainment,"$8,752",18 theaters,N/A,R,"Horror, Mystery, Thriller","Feb 1, 2019"
Three Peaks,"$16,216","$6,853","$23,069",Greenwich Entertainment,"$1,419",7 theaters,N/A,N/A,Drama,"Jun 28, 2019"
Virginia Minnesota,"$16,118",N/A,"$16,118",Indican Pictures,"$3,844",2 theaters,N/A,N/A,"Comedy, Drama","Mar 1, 2019"
Chained for Life,"$17,431",N/A,"$17,431",Kino International,"$7,415",3 theaters,N/A,N/A,Drama,"Sep 13, 2019"
Tremors,"$23,911","$97,902","$121,813",Film Movement,"$3,340",6 theaters,N/A,N/A,Drama,"Nov 29, 2019"
Too Late to Die Young,"$16,591","$7,896","$24,487",KimStim,"$6,196",4 theaters,N/A,N/A,Drama,"May 31, 2019"
Balloon,"$34,222","$11,825,174","$11,859,396",Distrib Films,N/A,5 theaters,N/A,N/A,"Drama, History, Thriller","Sep 6, 2019"
Joseph Pulitzer: Voice of the People,"$16,970",N/A,"$16,970",First Run,"$5,686",5 theaters,N/A,N/A,Documentary,"Mar 1, 2019"
Ode to Joy,"$17,303","$5,291","$22,594",IFC Films,"$3,568",16 theaters,N/A,R,Comedy,"Aug 9, 2019"
Scandalous: The True Story of the National Enquirer,"$18,759",N/A,"$18,759",Magnolia Pictures,"$10,837",13 theaters,N/A,N/A,Documentary,"Nov 15, 2019"
Citizen K,"$120,411","$25,530","$145,941",Greenwich Entertainment,"$10,571",15 theaters,N/A,N/A,Documentary,"Nov 22, 2019"
The House That Jack Built,"$87,993","$2,823,807","$2,911,800",IFC Films,"$34,273",32 theaters,N/A,R,"Crime, Drama, Horror, Thriller","Dec 14, 2018"
The Cranes Are Flying,"$17,923",N/A,"$17,923",Janus Films,N/A,2 theaters,N/A,N/A,"Drama, Romance, War","Jul 12, 2019"
