title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Alien,"$833,658","$552,013","$1,385,671",Fathom Events,"$386,976",682 theaters,"$11,000,000",R,"Horror, Sci-Fi","Oct 13, 2019"
Steel Magnolias,"$855,421",N/A,"$855,421",Fathom Events,"$495,528",689 theaters,N/A,N/A,"Comedy, Drama, Romance","May 19, 2019"
Woman at War,"$847,495","$3,697,306","$4,544,801",Magnolia Pictures,"$18,370",66 theaters,N/A,Not Rated,"Adventure, Comedy, Drama, Thriller","Mar 1, 2019"
Howl's Moving Castle,"$865,647",N/A,"$865,647",Fathom Events,"$368,180",748 theaters,N/A,PG,"Adventure, Animation, Family, Fantasy","Apr 7, 2019"
Pati Patni Aur Woh,"$874,044","$5,838,481","$6,712,525",Eros International,"$432,145",130 theaters,N/A,N/A,"Comedy, Romance","Dec 6, 2019"
A Hidden Life,"$1,730,597","$2,875,216","$4,605,813",Fox Searchlight Pictures,"$50,383",151 theaters,N/A,PG-13,"Biography, Drama, Romance, War","Dec 13, 2019"
Between Me and My Mind,"$875,191",N/A,"$875,191",Trafalgar Releasing,"$14,614",488 theaters,N/A,N/A,Documentary,"Jul 17, 2019"
The Fighting Preacher,"$954,641",N/A,"$954,641",Purdie Distribution,"$60,223",37 theaters,N/A,PG,"Comedy, Drama, History","Jul 24, 2019"
Toni Morrison: The Pieces I Am,"$903,018","$24,477","$927,495",Magnolia Pictures,"$48,050",78 theaters,N/A,PG-13,Documentary,"Jun 21, 2019"
Jesus Is King,"$973,000","$109,629","$1,082,629",IMAX,"$830,000",372 theaters,N/A,N/A,"Documentary, Music, Short","Oct 25, 2019"
Rush: Cinema Strangiato 2019,"$960,073",N/A,"$960,073",Trafalgar Releasing,"$2,580",494 theaters,N/A,N/A,Music,"Aug 21, 2019"
BlacKkKlansman,"$49,275,340","$44,125,483","$93,400,823",Focus Features,"$10,845,330","1,914 theaters","$15,000,000",R,"Biography, Comedy, Crime, Drama","Aug 10, 2018"
Kiki's Delivery Service,"$1,004,057",N/A,"$1,004,057",Fathom Events,"$352,556",753 theaters,N/A,N/A,"Adventure, Animation, Drama, Family, Fantasy","Jul 28, 2019"
Marianne & Leonard: Words of Love,"$1,012,034","$2,261,539","$3,273,573",Roadside Attractions,"$44,942",101 theaters,N/A,R,"Biography, Documentary, Music, Romance","Jul 5, 2019"
Perfect Strangers,"$1,014,507","$32,247,859","$33,262,366",Pantelion Films,"$422,656",132 theaters,N/A,N/A,Comedy,"Jan 11, 2019"
Noah,"$1,035,603",N/A,"$1,035,603",Fathom Events,"$392,734",669 theaters,N/A,N/A,N/A,"Apr 9, 2019"
El Coyote,"$1,101,470",N/A,"$1,101,470",Cactus Blue Entertainment,N/A,297 theaters,N/A,R,"Action, Crime","Oct 4, 2019"
The Souvenir,"$1,036,737","$682,420","$1,719,157",A24,"$78,400",145 theaters,N/A,R,"Drama, Mystery, Romance","May 17, 2019"
Luka Chuppi,"$1,042,905","$880,681","$1,923,586",Viva Pictures,"$485,342",139 theaters,N/A,N/A,"Comedy, Romance","Mar 1, 2019"
Princess Mononoke,"$1,046,446",N/A,"$1,046,446",Fathom Events,"$417,311",752 theaters,N/A,PG-13,"Action, Adventure, Animation, Fantasy","Nov 17, 2019"
Bennett's War,"$1,056,416",N/A,"$1,056,416",Forrest Films,"$430,898",970 theaters,N/A,PG-13,Sport,"Aug 30, 2019"
Mortal Engines,"$15,951,040","$67,721,633","$83,672,673",Universal Pictures,"$7,559,850","3,103 theaters",N/A,PG-13,"Action, Adventure, Fantasy, Sci-Fi, Thriller","Dec 14, 2018"
Playmobil: The Movie,"$1,115,008","$15,234,295","$16,349,303",STX Entertainment,"$656,530","2,337 theaters",N/A,PG,"Adventure, Animation, Comedy, Family, Fantasy, Musical","Dec 6, 2019"
My Neighbor Totoro,"$1,105,564",N/A,"$1,105,564",Fathom Events,"$484,254",767 theaters,N/A,N/A,"Animation, Family, Fantasy","Aug 25, 2019"
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$1,134,786","$3,944,156","$5,078,942",Fathom Events,N/A,692 theaters,N/A,N/A,"Action, Adventure, Animation, Comedy, Fantasy","Nov 12, 2019"
Western Stars,"$1,581,681","$2,100,000","$3,681,681",Warner Bros.,"$560,282",553 theaters,N/A,PG,"Documentary, Music","Oct 25, 2019"
No Safe Spaces,"$1,291,514",N/A,"$1,291,514",Atlas Distribution Company,"$45,236",200 theaters,N/A,PG-13,Documentary,"Oct 25, 2019"
Nothing to Lose 2,"$1,150,551","$15,460,162","$16,610,713",Swen Releasing,"$606,934",105 theaters,N/A,PG-13,"Biography, Drama","Sep 27, 2019"
