title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Harriet,"$43,082,155",N/A,N/A,Focus Features,"$11,676,720","2,186 theaters","$17,000,000",PG-13,"Action, Biography, Drama, History","Nov 1, 2019"
Playing with Fire,"$44,451,847",N/A,N/A,Paramount Pictures,"$12,723,781","3,185 theaters","$29,900,000",PG,"Comedy, Family","Nov 8, 2019"
Rambo: Last Blood,"$44,819,352",N/A,N/A,Lionsgate,"$18,872,919","3,618 theaters","$50,000,000",R,"Action, Thriller","Sep 20, 2019"
Wonder Park,"$45,216,793",N/A,N/A,Paramount Pictures,"$15,853,646","3,838 theaters","$90,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Mar 15, 2019"
Five Feet Apart,"$45,729,221",N/A,N/A,Lionsgate,"$13,190,286","2,866 theaters","$7,000,000",PG-13,"Drama, Romance","Mar 15, 2019"
Ma,"$45,896,028",N/A,N/A,Universal Pictures,"$18,099,805","2,816 theaters","$5,000,000",R,"Horror, Mystery, Thriller","May 31, 2019"
Gemini Man,"$48,546,770",N/A,N/A,Paramount Pictures,"$20,552,372","3,642 theaters","$138,000,000",PG-13,"Action, Drama, Sci-Fi, Thriller","Oct 11, 2019"
Isn't It Romantic,"$48,791,187",N/A,N/A,Warner Bros.,"$14,247,758","3,444 theaters","$31,000,000",PG-13,"Comedy, Fantasy, Romance","Feb 13, 2019"
Ad Astra,"$50,188,370",N/A,N/A,Twentieth Century Fox,"$19,001,398","3,460 theaters","$90,000,000",PG-13,"Adventure, Drama, Mystery, Sci-Fi, Thriller","Sep 20, 2019"
Green Book,"$85,080,171",N/A,N/A,Universal Pictures,"$320,429","2,648 theaters","$23,000,000",PG-13,"Biography, Comedy, Drama, Music",N/A
What Men Want,"$54,611,903",N/A,N/A,Paramount Pictures,"$18,232,087","2,912 theaters","$20,000,000",R,"Comedy, Fantasy, Romance","Feb 8, 2019"
Pet Sematary,"$54,724,696",N/A,N/A,Paramount Pictures,"$24,502,775","3,585 theaters","$21,000,000",R,"Horror, Mystery, Thriller","Apr 5, 2019"
The Curse of la Llorona,"$54,733,739",N/A,N/A,Warner Bros.,"$26,347,631","3,372 theaters","$9,000,000",R,"Horror, Mystery, Thriller","Apr 19, 2019"
Bumblebee,"$127,195,589",N/A,N/A,Paramount Pictures,"$21,654,047","3,597 theaters","$135,000,000",PG-13,"Action, Adventure, Sci-Fi","Dec 21, 2018"
Midway,"$56,846,802",N/A,N/A,Lionsgate,"$17,897,419","3,242 theaters","$100,000,000",PG-13,"Action, Adventure, Drama, History, War","Nov 8, 2019"
A Beautiful Day in the Neighborhood,"$61,704,055",N/A,N/A,Sony Pictures Entertainment (SPE),"$13,251,238","3,491 theaters","$25,000,000",PG,"Biography, Drama","Nov 22, 2019"
Escape Room,"$57,005,601",N/A,N/A,Sony Pictures Entertainment (SPE),"$18,238,172","2,717 theaters","$9,000,000",PG-13,"Action, Adventure, Horror, Mystery, Thriller","Jan 4, 2019"
Dora and the Lost City of Gold,"$60,477,943",N/A,N/A,Paramount Pictures,"$17,431,588","3,735 theaters","$49,000,000",PG,"Adventure, Comedy, Family, Mystery","Aug 9, 2019"
Abominable,"$60,716,390",N/A,N/A,Universal Pictures,"$20,612,100","4,248 theaters","$75,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Sep 27, 2019"
Terminator: Dark Fate,"$62,253,077",N/A,N/A,Paramount Pictures,"$29,033,832","4,086 theaters","$185,000,000",R,"Action, Adventure, Sci-Fi","Nov 1, 2019"
X-Men: Dark Phoenix,"$65,845,974",N/A,N/A,Twentieth Century Fox,"$32,828,348","3,721 theaters","$200,000,000",PG-13,"Action, Adventure, Sci-Fi","Jun 7, 2019"
Mary Poppins Returns,"$171,958,438",N/A,N/A,Walt Disney Studios Motion Pictures,"$23,523,121","4,090 theaters","$130,000,000",PG,"Comedy, Family, Fantasy, Musical","Dec 19, 2018"
Scary Stories to Tell in the Dark,"$68,947,075",N/A,N/A,Lionsgate,"$20,915,346","3,135 theaters","$25,000,000",PG-13,"Adventure, Horror, Mystery","Aug 9, 2019"
Angel Has Fallen,"$69,030,436",N/A,N/A,Lionsgate,"$21,380,987","3,336 theaters","$40,000,000",R,"Action, Thriller","Aug 23, 2019"
Zombieland: Double Tap,"$73,123,082",N/A,N/A,Sony Pictures Entertainment (SPE),"$26,803,104","3,468 theaters","$42,000,000",R,"Action, Adventure, Comedy, Horror","Oct 18, 2019"
A Madea Family Funeral,"$73,257,045",N/A,N/A,Lionsgate,"$27,062,332","2,442 theaters","$20,000,000",PG-13,Comedy,"Mar 1, 2019"
Yesterday,"$73,286,650",N/A,N/A,Universal Pictures,"$17,010,050","2,755 theaters","$26,000,000",PG-13,"Comedy, Fantasy, Music, Romance","Jun 28, 2019"
Annabelle Comes Home,"$74,152,591",N/A,N/A,Warner Bros.,"$20,269,723","3,613 theaters","$30,000,000",R,"Horror, Mystery, Thriller","Jun 26, 2019"
Men in Black: International,"$80,001,807",N/A,N/A,Sony Pictures Entertainment (SPE),"$30,035,838","4,224 theaters","$110,000,000",PG-13,"Action, Adventure, Comedy, Sci-Fi","Jun 14, 2019"
Spider-Man: Into the Spider-Verse,"$190,241,310",N/A,N/A,Sony Pictures Entertainment (SPE),"$35,363,376","3,813 theaters",N/A,PG,"Action, Adventure, Animation, Family, Sci-Fi","Dec 14, 2018"
Good Boys,"$83,140,306",N/A,N/A,Universal Pictures,"$21,402,605","3,458 theaters","$20,000,000",R,"Adventure, Comedy","Aug 16, 2019"
Alita: Battle Angel,"$85,838,210",N/A,N/A,Twentieth Century Fox,"$28,525,613","3,802 theaters","$170,000,000",PG-13,"Action, Adventure, Sci-Fi, Thriller","Feb 14, 2019"
Rocketman,"$96,368,160",N/A,N/A,Paramount Pictures,"$25,725,722","3,610 theaters","$40,000,000",R,"Biography, Drama, Music, Musical","May 31, 2019"
Downton Abbey,"$96,854,135",N/A,N/A,Focus Features,"$31,033,665","3,548 theaters","$13,000,000",PG,"Drama, Romance","Sep 20, 2019"
The Addams Family,"$100,044,905",N/A,N/A,United Artists Releasing,"$30,300,007","4,107 theaters","$24,000,000",PG,"Animation, Comedy, Family, Fantasy, Horror","Oct 11, 2019"
Hustlers,"$104,963,598",N/A,N/A,STX Entertainment,"$33,181,361","3,525 theaters","$20,000,000",R,"Comedy, Crime, Drama","Sep 13, 2019"
The LEGO Movie 2: The Second Part,"$105,806,508",N/A,N/A,Warner Bros.,"$34,115,335","4,303 theaters","$99,000,000",PG,"Action, Adventure, Animation, Comedy, Family, Fantasy, Musical","Feb 8, 2019"
Ford v Ferrari,"$117,624,357",N/A,N/A,Twentieth Century Fox,"$31,474,958","3,746 theaters","$97,600,000",PG-13,"Action, Biography, Drama, Sport","Nov 15, 2019"
The Upside,"$108,252,517",N/A,N/A,STX Entertainment,"$20,355,000","3,568 theaters","$37,500,000",PG-13,"Comedy, Drama","Jan 11, 2019"
Godzilla: King of the Monsters,"$110,500,138",N/A,N/A,Warner Bros.,"$47,776,293","4,108 theaters","$170,000,000",PG-13,"Action, Adventure, Fantasy, Sci-Fi","May 31, 2019"
Glass,"$111,048,468",N/A,N/A,Universal Pictures,"$40,328,920","3,844 theaters","$20,000,000",PG-13,"Drama, Sci-Fi, Thriller","Jan 18, 2019"
Maleficent: Mistress of Evil,"$113,929,605",N/A,N/A,Walt Disney Studios Motion Pictures,"$36,948,713","3,820 theaters","$185,000,000",PG,"Adventure, Family, Fantasy","Oct 18, 2019"
Dumbo,"$114,766,307",N/A,N/A,Walt Disney Studios Motion Pictures,"$45,990,748","4,259 theaters","$170,000,000",PG,"Adventure, Family, Fantasy","Mar 29, 2019"
Knives Out,"$165,363,234",N/A,N/A,Lionsgate,"$26,769,548","3,461 theaters","$40,000,000",PG-13,"Comedy, Crime, Drama, Mystery, Thriller","Nov 27, 2019"
Aquaman,"$335,061,807",N/A,N/A,Warner Bros.,"$67,873,522","4,184 theaters",N/A,PG-13,"Action, Adventure, Fantasy, Sci-Fi","Dec 21, 2018"
Shazam!,"$140,371,656",N/A,N/A,Warner Bros.,"$53,505,326","4,306 theaters","$100,000,000",PG-13,"Action, Adventure, Comedy, Fantasy","Apr 5, 2019"
Once Upon a Time... In Hollywood,"$142,502,728",N/A,N/A,Sony Pictures Entertainment (SPE),"$41,082,018","3,659 theaters","$90,000,000",R,"Comedy, Drama","Jul 26, 2019"
Pokémon Detective Pikachu,"$144,105,346",N/A,N/A,Warner Bros.,"$54,365,242","4,248 theaters","$150,000,000",PG,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi","May 10, 2019"
The Secret Life of Pets 2,"$158,874,395",N/A,N/A,Universal Pictures,"$46,652,680","4,564 theaters","$80,000,000",PG,"Adventure, Animation, Comedy, Family","Jun 7, 2019"
How to Train Your Dragon: The Hidden World,"$160,799,505",N/A,N/A,Universal Pictures,"$55,022,245","4,286 theaters","$129,000,000",PG,"Action, Adventure, Animation, Family, Fantasy","Feb 22, 2019"
John Wick: Chapter 3 - Parabellum,"$171,015,687",N/A,N/A,Lionsgate,"$56,818,067","3,850 theaters","$75,000,000",R,"Action, Crime, Thriller","May 17, 2019"
Fast & Furious Presents: Hobbs & Shaw,"$173,956,935",N/A,N/A,Universal Pictures,"$60,038,950","4,344 theaters","$200,000,000",N/A,"Action, Adventure, Thriller","Aug 2, 2019"
Us,"$175,084,580",N/A,N/A,Universal Pictures,"$71,117,625","3,743 theaters","$20,000,000",R,"Horror, Mystery, Thriller","Mar 22, 2019"
Jumanji: The Next Level,"$320,314,960",N/A,N/A,Sony Pictures Entertainment (SPE),"$59,251,543","4,227 theaters","$125,000,000",PG-13,"Action, Adventure, Comedy, Fantasy","Dec 13, 2019"
It Chapter Two,"$211,593,228",N/A,N/A,Warner Bros.,"$91,062,152","4,570 theaters","$79,000,000",R,"Drama, Fantasy, Horror","Sep 6, 2019"
Joker,"$335,451,311",N/A,N/A,Warner Bros.,"$96,202,337","4,374 theaters","$55,000,000",R,"Crime, Drama, Thriller","Oct 4, 2019"
Aladdin,"$355,559,216",N/A,N/A,Walt Disney Studios Motion Pictures,"$91,500,929","4,476 theaters","$183,000,000",PG,"Adventure, Family, Fantasy, Musical, Romance","May 24, 2019"
Spider-Man: Far from Home,"$390,532,085",N/A,N/A,Sony Pictures Entertainment (SPE),"$92,579,212","4,634 theaters","$160,000,000",PG-13,"Action, Adventure, Sci-Fi","Jul 2, 2019"
Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542",N/A,N/A,Walt Disney Studios Motion Pictures,"$177,383,864","4,406 theaters","$275,000,000",PG-13,"Action, Adventure, Fantasy, Sci-Fi","Dec 20, 2019"
Captain Marvel,"$426,829,839",N/A,N/A,Walt Disney Studios Motion Pictures,"$153,433,423","4,310 theaters","$160,000,000",PG-13,"Action, Adventure, Sci-Fi","Mar 8, 2019"
Frozen II,"$477,373,578",N/A,N/A,Walt Disney Studios Motion Pictures,"$130,263,358","4,440 theaters","$150,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy, Musical","Nov 22, 2019"
Toy Story 4,"$434,038,008",N/A,N/A,Walt Disney Studios Motion Pictures,"$120,908,065","4,575 theaters","$200,000,000",G,"Adventure, Animation, Comedy, Family, Fantasy","Jun 21, 2019"
The Lion King,"$543,638,043",N/A,N/A,Walt Disney Studios Motion Pictures,"$191,770,759","4,802 theaters","$260,000,000",PG,"Adventure, Animation, Drama, Family, Musical","Jul 19, 2019"
Avengers: Endgame,"$858,373,000",N/A,N/A,Walt Disney Studios Motion Pictures,"$357,115,007","4,662 theaters","$356,000,000",PG-13,"Action, Adventure, Drama, Sci-Fi","Apr 26, 2019"
Teen Titans GO! To the Movies,"$29,790,236",N/A,N/A,Warner Bros.,"$10,411,189","3,188 theaters","$10,000,000",PG,"Action, Adventure, Animation, Comedy, Family, Fantasy, Musical, Sci-Fi","Jul 27, 2018"
Coco,"$210,460,015",N/A,N/A,Walt Disney Studios Motion Pictures,"$50,802,605","3,987 theaters",N/A,PG,"Adventure, Animation, Family, Fantasy, Music, Mystery","Nov 22, 2017"
Slender Man,"$30,569,484",N/A,N/A,Screen Gems,"$11,371,866","2,358 theaters","$10,000,000",PG-13,"Horror, Mystery, Thriller","Aug 10, 2018"
Super Troopers 2,"$30,617,396",N/A,N/A,Twentieth Century Fox,"$15,181,624","2,125 theaters","$13,500,000",R,"Comedy, Crime, Mystery","Apr 20, 2018"
Robin Hood,"$30,824,628",N/A,N/A,Lionsgate,"$9,195,670","2,827 theaters","$100,000,000",PG-13,"Action, Adventure, Drama, Thriller","Nov 21, 2018"
Ferdinand,"$84,410,380",N/A,N/A,Twentieth Century Fox,"$13,401,586","3,630 theaters","$111,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Dec 15, 2017"
Adrift,"$31,445,012",N/A,N/A,STX Entertainment,"$11,603,039","3,015 theaters","$35,000,000",PG-13,"Action, Adventure, Biography, Drama, Romance, Thriller","Jun 1, 2018"
Nobody's Fool,"$31,713,110",N/A,N/A,Paramount Pictures,"$13,743,111","2,468 theaters","$19,000,000",R,"Comedy, Drama, Romance","Nov 2, 2018"
Isle of Dogs,"$32,015,231",N/A,N/A,Fox Searchlight Pictures,"$1,620,294","1,947 theaters",N/A,PG-13,"Adventure, Animation, Comedy, Drama, Fantasy, Sci-Fi",N/A
Green Book,"$85,080,171",N/A,N/A,Universal Pictures,"$320,429","2,648 theaters","$23,000,000",PG-13,"Biography, Comedy, Drama, Music",N/A
Annihilation,"$32,732,301",N/A,N/A,Paramount Pictures,"$11,071,584","2,112 theaters","$40,000,000",R,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller","Feb 23, 2018"
The Spy Who Dumped Me,"$33,562,069",N/A,N/A,Lionsgate,"$12,103,043","3,111 theaters","$40,000,000",R,"Action, Adventure, Comedy","Aug 3, 2018"
Death Wish,"$34,017,028",N/A,N/A,Metro-Goldwyn-Mayer (MGM),"$13,010,267","2,882 theaters","$30,000,000",R,"Action, Crime, Drama, Thriller","Mar 2, 2018"
Peppermint,"$35,418,723",N/A,N/A,STX Entertainment,"$13,423,255","2,980 theaters","$25,000,000",R,"Action, Drama, Thriller","Sep 7, 2018"
