title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Bumblebee,"$127,195,589",N/A,N/A,Paramount Pictures,"$21,654,047","3,597 theaters","$135,000,000",PG-13,"Action, Adventure, Sci-Fi","Dec 21, 2018"
Night School,"$77,339,130",N/A,N/A,Universal Pictures,"$27,257,615","3,019 theaters","$29,000,000",PG-13,Comedy,"Sep 28, 2018"
The Post,"$81,903,458",N/A,N/A,Twentieth Century Fox,"$526,011","2,851 theaters","$50,000,000",PG-13,Drama,N/A
Smallfoot,"$83,240,103",N/A,N/A,Warner Bros.,"$23,045,635","4,131 theaters",N/A,PG,"Adventure, Animation, Comedy, Family, Fantasy, Musical","Sep 28, 2018"
I Can Only Imagine,"$83,482,352",N/A,N/A,Roadside Attractions,"$17,108,914","2,894 theaters","$7,000,000",PG,"Biography, Drama, Family, Music","Mar 16, 2018"
Christopher Robin,"$99,215,042",N/A,N/A,Walt Disney Studios Motion Pictures,"$24,585,139","3,602 theaters","$75,000,000",PG,"Adventure, Comedy, Drama, Family, Fantasy","Aug 3, 2018"
Fifty Shades Freed,"$100,407,760",N/A,N/A,Universal Pictures,"$38,560,195","3,768 theaters","$55,000,000",R,"Drama, Romance, Thriller","Feb 9, 2018"
A Wrinkle in Time,"$100,478,608",N/A,N/A,Walt Disney Studios Motion Pictures,"$33,123,609","3,980 theaters",N/A,PG,"Adventure, Family, Fantasy, Sci-Fi","Mar 9, 2018"
Rampage,"$101,028,233",N/A,N/A,Warner Bros.,"$35,753,093","4,115 theaters","$120,000,000",PG-13,"Action, Adventure, Sci-Fi","Apr 13, 2018"
The Equalizer 2,"$102,084,362",N/A,N/A,Sony Pictures Entertainment (SPE),"$36,011,640","3,388 theaters","$62,000,000",R,"Action, Crime, Thriller","Jul 20, 2018"
Star Wars: Episode VIII - The Last Jedi,"$620,181,382",N/A,N/A,Walt Disney Studios Motion Pictures,"$220,009,584","4,232 theaters","$317,000,000",PG-13,"Action, Adventure, Fantasy, Sci-Fi","Dec 15, 2017"
Mary Poppins Returns,"$171,958,438",N/A,N/A,Walt Disney Studios Motion Pictures,"$23,523,121","4,090 theaters","$130,000,000",PG,"Comedy, Family, Fantasy, Musical","Dec 19, 2018"
Spider-Man: Into the Spider-Verse,"$190,241,310",N/A,N/A,Sony Pictures Entertainment (SPE),"$35,363,376","3,813 theaters",N/A,PG,"Action, Adventure, Animation, Family, Sci-Fi","Dec 14, 2018"
Creed II,"$115,715,889",N/A,N/A,Metro-Goldwyn-Mayer (MGM),"$35,574,710","3,752 theaters","$50,000,000",PG-13,"Drama, Sport","Nov 21, 2018"
Peter Rabbit,"$115,253,424",N/A,N/A,Sony Pictures Entertainment (SPE),"$25,010,928","3,725 theaters","$50,000,000",PG,"Adventure, Comedy, Family, Fantasy","Feb 9, 2018"
The Nun,"$117,450,119",N/A,N/A,Warner Bros.,"$53,807,379","3,876 theaters","$22,000,000",R,"Horror, Mystery, Thriller","Sep 7, 2018"
Mamma Mia! Here We Go Again,"$120,634,935",N/A,N/A,Universal Pictures,"$34,952,180","3,514 theaters","$75,000,000",PG-13,"Comedy, Musical, Romance","Jul 20, 2018"
The Greatest Showman,"$174,340,174",N/A,N/A,Twentieth Century Fox,"$8,805,843","3,342 theaters","$84,000,000",PG,"Biography, Drama, Musical","Dec 20, 2017"
Ready Player One,"$137,690,172",N/A,N/A,Warner Bros.,"$41,764,050","4,234 theaters","$175,000,000",PG-13,"Action, Adventure, Sci-Fi","Mar 29, 2018"
Ocean's Eight,"$140,218,711",N/A,N/A,Warner Bros.,"$41,607,378","4,145 theaters","$70,000,000",PG-13,"Action, Comedy, Crime, Thriller","Jun 8, 2018"
The Meg,"$145,443,742",N/A,N/A,Warner Bros.,"$45,402,195","4,118 theaters","$130,000,000",PG-13,"Action, Horror, Sci-Fi, Thriller","Aug 10, 2018"
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901",N/A,N/A,Warner Bros.,"$62,163,104","4,163 theaters","$200,000,000",PG-13,"Adventure, Family, Fantasy","Nov 16, 2018"
Halloween,"$159,342,015",N/A,N/A,Universal Pictures,"$76,221,545","3,990 theaters","$10,000,000",R,"Crime, Horror, Thriller","Oct 19, 2018"
Hotel Transylvania 3: Summer Vacation,"$167,510,016",N/A,N/A,Sony Pictures Entertainment (SPE),"$44,076,225","4,267 theaters","$80,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Jul 13, 2018"
Crazy Rich Asians,"$174,532,921",N/A,N/A,Warner Bros.,"$26,510,140","3,865 theaters","$30,000,000",PG-13,"Comedy, Drama, Romance","Aug 15, 2018"
Ralph Breaks the Internet,"$201,091,711",N/A,N/A,Walt Disney Studios Motion Pictures,"$56,237,634","4,017 theaters","$175,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Nov 21, 2018"
A Quiet Place,"$188,024,361",N/A,N/A,Paramount Pictures,"$50,203,562","3,808 theaters","$17,000,000",PG-13,"Drama, Horror, Sci-Fi","Apr 6, 2018"
Bohemian Rhapsody,"$216,428,042",N/A,N/A,Twentieth Century Fox,"$51,061,119","4,000 theaters","$52,000,000",PG-13,"Biography, Drama, Music","Nov 2, 2018"
Aquaman,"$335,061,807",N/A,N/A,Warner Bros.,"$67,873,522","4,184 theaters",N/A,PG-13,"Action, Adventure, Fantasy, Sci-Fi","Dec 21, 2018"
A Star Is Born,"$215,288,866",N/A,N/A,Warner Bros.,"$42,908,051","3,904 theaters","$36,000,000",R,"Drama, Music, Romance","Oct 5, 2018"
Venom,"$213,515,506",N/A,N/A,Sony Pictures Entertainment (SPE),"$80,255,756","4,250 theaters","$100,000,000",PG-13,"Action, Adventure, Sci-Fi","Oct 5, 2018"
Solo: A Star Wars Story,"$213,767,512",N/A,N/A,Walt Disney Studios Motion Pictures,"$84,420,489","4,381 theaters","$275,000,000",PG-13,"Action, Adventure, Sci-Fi","May 25, 2018"
Ant-Man and the Wasp,"$216,648,740",N/A,N/A,Walt Disney Studios Motion Pictures,"$75,812,205","4,206 theaters",N/A,PG-13,"Action, Adventure, Comedy, Sci-Fi","Jul 6, 2018"
Mission: Impossible - Fallout,"$220,159,104",N/A,N/A,Paramount Pictures,"$61,236,534","4,395 theaters","$178,000,000",PG-13,"Action, Adventure, Thriller","Jul 27, 2018"
Jumanji: Welcome to the Jungle,"$404,515,480",N/A,N/A,Sony Pictures Entertainment (SPE),"$36,169,328","3,849 theaters","$90,000,000",PG-13,"Action, Adventure, Comedy, Fantasy","Dec 20, 2017"
The Grinch,"$270,807,000",N/A,N/A,Universal Pictures,"$67,572,855","4,141 theaters","$75,000,000",PG,"Animation, Comedy, Family, Fantasy","Nov 9, 2018"
Deadpool 2,"$318,491,426",N/A,N/A,Twentieth Century Fox,"$125,507,153","4,349 theaters","$110,000,000",R,"Action, Adventure, Comedy, Sci-Fi","May 18, 2018"
Jurassic World: Fallen Kingdom,"$417,719,760",N/A,N/A,Universal Pictures,"$148,024,610","4,485 theaters","$170,000,000",PG-13,"Action, Adventure, Sci-Fi","Jun 22, 2018"
Incredibles 2,"$608,581,744",N/A,N/A,Walt Disney Studios Motion Pictures,"$182,687,905","4,410 theaters",N/A,PG,"Action, Adventure, Animation, Comedy, Family, Sci-Fi","Jun 15, 2018"
Avengers: Infinity War,"$678,815,482",N/A,N/A,Walt Disney Studios Motion Pictures,"$257,698,183","4,474 theaters",N/A,PG-13,"Action, Adventure, Sci-Fi","Apr 27, 2018"
Black Panther,"$700,059,566",N/A,N/A,Walt Disney Studios Motion Pictures,"$202,003,951","4,084 theaters",N/A,PG-13,"Action, Adventure, Sci-Fi","Feb 16, 2018"
The Bye Bye Man,"$22,395,806",N/A,N/A,STX Entertainment,"$13,501,349","2,220 theaters","$7,400,000",PG-13,"Drama, Fantasy, Horror, Mystery, Thriller","Jan 13, 2017"
Victoria & Abdul,"$22,245,070",N/A,N/A,Focus Features,"$158,845","1,060 theaters",N/A,PG-13,"Biography, Drama, History",N/A
"Three Billboards Outside Ebbing, Missouri","$54,513,740",N/A,N/A,Fox Searchlight Pictures,"$322,168","1,726 theaters",N/A,R,"Comedy, Crime, Drama",N/A
Gifted,"$24,801,212",N/A,N/A,Fox Searchlight Pictures,"$446,380","2,215 theaters","$7,000,000",PG-13,Drama,N/A
The House,"$25,584,504",N/A,N/A,Warner Bros.,"$8,724,795","3,134 theaters","$40,000,000",R,"Comedy, Crime","Jun 30, 2017"
Resident Evil: The Final Chapter,"$26,830,068",N/A,N/A,Screen Gems,"$13,601,682","3,104 theaters","$40,000,000",R,"Action, Horror, Sci-Fi","Jan 27, 2017"
Home Again,"$27,020,284",N/A,N/A,Open Road Films (II),"$8,567,881","3,036 theaters","$12,000,000",PG-13,"Comedy, Drama, Romance","Sep 8, 2017"
Logan Lucky,"$27,780,977",N/A,N/A,Bleecker Street Media,"$7,600,036","3,031 theaters","$29,000,000",PG-13,"Comedy, Crime, Drama","Aug 18, 2017"
Rings,"$27,793,018",N/A,N/A,Paramount Pictures,"$13,002,632","2,931 theaters","$25,000,000",PG-13,"Drama, Horror, Mystery, Romance","Feb 3, 2017"
The Nut Job 2: Nutty by Nature,"$28,370,522",N/A,N/A,Open Road Films (II),"$8,342,311","4,003 theaters","$40,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Aug 11, 2017"
Why Him?,"$60,323,786",N/A,N/A,Twentieth Century Fox,"$11,002,986","3,008 theaters","$38,000,000",R,Comedy,"Dec 23, 2016"
Life,"$30,234,022",N/A,N/A,Sony Pictures Entertainment (SPE),"$12,501,936","3,146 theaters","$58,000,000",R,"Horror, Sci-Fi, Thriller","Mar 24, 2017"
The Mountain Between Us,"$30,348,555",N/A,N/A,Twentieth Century Fox,"$10,551,336","3,259 theaters","$35,000,000",PG-13,"Action, Adventure, Drama, Romance, Thriller","Oct 6, 2017"
Underworld: Blood Wars,"$30,353,973",N/A,N/A,Screen Gems,"$13,688,751","3,070 theaters","$35,000,000",R,"Action, Adventure, Fantasy, Horror, Sci-Fi","Jan 6, 2017"
Kidnap,"$30,971,040",N/A,N/A,Aviron Pictures,"$10,016,323","2,418 theaters","$21,000,000",R,"Action, Crime, Drama, Thriller","Aug 4, 2017"
Patriots Day,"$31,886,361",N/A,N/A,Lionsgate,"$161,306","3,120 theaters","$45,000,000",R,"Action, Crime, Drama, History, Thriller",N/A
Fences,"$57,682,904",N/A,N/A,Paramount Pictures,"$129,462","2,368 theaters","$24,000,000",PG-13,Drama,N/A
Lady Bird,"$48,958,273",N/A,N/A,A24,"$364,437","1,557 theaters",N/A,R,"Comedy, Drama",N/A
How to Be a Latin Lover,"$32,149,404",N/A,N/A,Pantelion Films,"$12,252,439","1,203 theaters",N/A,PG-13,"Comedy, Drama","Apr 28, 2017"
Fist Fight,"$32,187,017",N/A,N/A,Warner Bros.,"$12,201,873","3,185 theaters",N/A,R,Comedy,"Feb 17, 2017"
Monster Trucks,"$33,370,166",N/A,N/A,Paramount Pictures,"$10,950,705","3,119 theaters",N/A,PG,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","Jan 13, 2017"
Geostorm,"$33,700,160",N/A,N/A,Warner Bros.,"$13,707,376","3,246 theaters","$120,000,000",PG-13,"Action, Sci-Fi, Thriller","Oct 20, 2017"
Wind River,"$33,800,859",N/A,N/A,The Weinstein Company,"$161,558","2,890 theaters","$11,000,000",R,"Crime, Drama, Mystery, Thriller",N/A
"Everything, Everything","$34,121,140",N/A,N/A,Warner Bros.,"$11,727,390","2,801 theaters","$10,000,000",PG-13,"Drama, Romance","May 19, 2017"
The Foreigner,"$34,393,507",N/A,N/A,STX Entertainment,"$13,113,024","2,515 theaters","$35,000,000",R,"Action, Thriller","Oct 13, 2017"
American Assassin,"$36,249,674",N/A,N/A,Lionsgate,"$14,846,778","3,154 theaters","$33,000,000",R,"Action, Thriller","Sep 15, 2017"
Jigsaw,"$38,052,832",N/A,N/A,Lionsgate,"$16,640,452","2,941 theaters","$10,000,000",R,"Crime, Horror, Mystery, Thriller","Oct 27, 2017"
King Arthur: Legend of the Sword,"$39,175,066",N/A,N/A,Warner Bros.,"$15,371,270","3,702 theaters","$175,000,000",PG-13,"Action, Adventure, Drama, Fantasy","May 12, 2017"
The Star,"$40,852,824",N/A,N/A,Sony Pictures Entertainment (SPE),"$9,812,674","2,976 theaters","$20,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Nov 17, 2017"
Valerian and the City of a Thousand Planets,"$41,189,488",N/A,N/A,STX Entertainment,"$17,007,624","3,553 theaters","$177,200,000",PG-13,"Action, Adventure, Fantasy, Sci-Fi","Jul 21, 2017"
Ghost in the Shell,"$40,563,557",N/A,N/A,Paramount Pictures,"$18,676,033","3,440 theaters","$110,000,000",PG-13,"Action, Crime, Drama, Sci-Fi, Thriller","Mar 31, 2017"
Moana,"$248,757,044",N/A,N/A,Walt Disney Studios Motion Pictures,"$56,631,401","3,875 theaters",N/A,PG,"Adventure, Animation, Comedy, Family, Fantasy, Musical","Nov 23, 2016"
The Big Sick,"$42,873,127",N/A,N/A,Lionsgate,"$421,577","2,597 theaters",N/A,R,"Comedy, Drama, Romance",N/A
47 Meters Down,"$44,307,191",N/A,N/A,Entertainment Studios Motion Pictures,"$11,205,561","2,471 theaters","$5,300,000",PG-13,"Adventure, Drama, Horror, Thriller","Jun 16, 2017"
Passengers,"$100,014,699",N/A,N/A,Sony Pictures Entertainment (SPE),"$14,869,736","3,478 theaters","$110,000,000",PG-13,"Drama, Romance, Sci-Fi, Thriller","Dec 21, 2016"
xXx: Return of Xander Cage,"$44,898,413",N/A,N/A,Paramount Pictures,"$20,130,142","3,651 theaters","$85,000,000",PG-13,"Action, Adventure, Thriller","Jan 20, 2017"
All Eyez on Me,"$44,922,302",N/A,N/A,Lionsgate,"$26,435,354","2,471 theaters","$40,000,000",R,"Biography, Drama, Music","Jun 16, 2017"
Going in Style,"$45,018,541",N/A,N/A,Warner Bros.,"$11,932,330","3,076 theaters","$25,000,000",PG-13,"Comedy, Crime","Apr 7, 2017"
Smurfs: The Lost Village,"$45,020,282",N/A,N/A,Sony Pictures Entertainment (SPE),"$13,210,449","3,610 theaters","$60,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Apr 7, 2017"
The Great Wall,"$45,540,830",N/A,N/A,Universal Pictures,"$18,469,620","3,328 theaters","$150,000,000",PG-13,"Action, Adventure, Fantasy, Thriller","Feb 17, 2017"
Snatched,"$45,852,178",N/A,N/A,Twentieth Century Fox,"$19,542,248","3,511 theaters","$42,000,000",R,"Action, Adventure, Comedy","May 12, 2017"
Lion,"$51,738,905",N/A,N/A,The Weinstein Company,"$123,360","1,802 theaters","$12,000,000",PG-13,"Biography, Drama",N/A
Boo 2! A Madea Halloween,"$47,319,572",N/A,N/A,Lionsgate,"$21,226,953","2,388 theaters","$25,000,000",PG-13,"Comedy, Drama, Horror","Oct 20, 2017"
The Greatest Showman,"$174,340,174",N/A,N/A,Twentieth Century Fox,"$8,805,843","3,342 theaters","$84,000,000",PG,"Biography, Drama, Musical","Dec 20, 2017"
The Dark Tower,"$50,701,325",N/A,N/A,Sony Pictures Entertainment (SPE),"$19,153,698","3,451 theaters","$60,000,000",PG-13,"Action, Adventure, Fantasy, Horror, Sci-Fi, Western","Aug 4, 2017"
American Made,"$51,342,000",N/A,N/A,Universal Pictures,"$16,776,390","3,098 theaters","$50,000,000",R,"Action, Comedy, Crime, Drama","Sep 29, 2017"
Atomic Blonde,"$51,687,870",N/A,N/A,Focus Features,"$18,286,420","3,326 theaters","$30,000,000",R,"Action, Thriller","Jul 28, 2017"
Ferdinand,"$84,410,380",N/A,N/A,Twentieth Century Fox,"$13,401,586","3,630 theaters","$111,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Dec 15, 2017"
Happy Death Day,"$55,683,845",N/A,N/A,Universal Pictures,"$26,039,025","3,535 theaters","$4,800,000",PG-13,"Horror, Mystery, Thriller","Oct 13, 2017"
The Shack,"$57,386,418",N/A,N/A,Lionsgate,"$16,172,119","2,888 theaters",N/A,PG-13,"Drama, Fantasy","Mar 3, 2017"
Baywatch,"$58,060,186",N/A,N/A,Paramount Pictures,"$18,503,871","3,647 theaters","$69,000,000",R,"Action, Comedy, Crime","May 25, 2017"
The Lego Ninjago Movie,"$59,281,555",N/A,N/A,Warner Bros.,"$20,433,071","4,047 theaters",N/A,PG,"Action, Adventure, Animation, Comedy, Family","Sep 22, 2017"
Pitch Perfect 3,"$104,897,530",N/A,N/A,Universal Pictures,"$19,928,525","3,468 theaters","$45,000,000",PG-13,"Comedy, Music","Dec 22, 2017"
A Dog's Purpose,"$64,508,620",N/A,N/A,Universal Pictures,"$18,222,810","3,178 theaters","$22,000,000",PG,"Adventure, Comedy, Drama, Family, Fantasy","Jan 27, 2017"
A Bad Moms Christmas,"$72,110,659",N/A,N/A,STX Entertainment,"$16,759,161","3,615 theaters","$28,000,000",R,Comedy,"Nov 1, 2017"
Captain Underpants: The First Epic Movie,"$73,921,000",N/A,N/A,Twentieth Century Fox,"$23,851,539","3,529 theaters","$38,000,000",PG,"Action, Animation, Comedy, Family","Jun 2, 2017"
Alien: Covenant,"$74,262,031",N/A,N/A,Twentieth Century Fox,"$36,160,621","3,772 theaters","$97,000,000",R,"Horror, Sci-Fi, Thriller","May 19, 2017"
The Hitman's Bodyguard,"$75,468,583",N/A,N/A,Lionsgate,"$21,384,504","3,377 theaters","$30,000,000",R,"Action, Comedy, Crime, Thriller","Aug 18, 2017"
The Mummy,"$80,227,895",N/A,N/A,Universal Pictures,"$31,688,375","4,035 theaters","$125,000,000",PG-13,"Action, Adventure, Fantasy, Thriller","Jun 9, 2017"
Power Rangers,"$85,364,450",N/A,N/A,Lionsgate,"$40,300,288","3,693 theaters","$100,000,000",PG-13,"Action, Adventure, Sci-Fi","Mar 24, 2017"
The Emoji Movie,"$86,089,513",N/A,N/A,Sony Pictures Entertainment (SPE),"$24,531,923","4,075 theaters","$50,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Jul 28, 2017"
Blade Runner 2049,"$92,054,159",N/A,N/A,Warner Bros.,"$32,753,122","4,058 theaters","$150,000,000",R,"Action, Drama, Mystery, Sci-Fi, Thriller","Oct 6, 2017"
John Wick: Chapter 2,"$92,029,184",N/A,N/A,Lionsgate,"$30,436,123","3,113 theaters",N/A,R,"Action, Crime, Thriller","Feb 10, 2017"
Kingsman: The Golden Circle,"$100,234,838",N/A,N/A,Twentieth Century Fox,"$39,023,010","4,038 theaters","$104,000,000",R,"Action, Adventure, Comedy, Crime, Thriller","Sep 22, 2017"
Murder on the Orient Express,"$102,826,543",N/A,N/A,Twentieth Century Fox,"$28,681,472","3,354 theaters","$55,000,000",PG-13,"Crime, Drama, Mystery","Nov 10, 2017"
Daddy's Home 2,"$104,029,443",N/A,N/A,Paramount Pictures,"$29,651,193","3,575 theaters","$69,000,000",PG-13,Comedy,"Nov 10, 2017"
Annabelle: Creation,"$102,092,201",N/A,N/A,Warner Bros.,"$35,006,404","3,565 theaters","$15,000,000",R,"Horror, Mystery, Thriller","Aug 11, 2017"
Baby Driver,"$107,825,862",N/A,N/A,TriStar Pictures,"$20,553,320","3,226 theaters","$34,000,000",R,"Action, Crime, Drama, Music, Thriller","Jun 28, 2017"
Fifty Shades Darker,"$114,581,250",N/A,N/A,Universal Pictures,"$46,607,250","3,714 theaters","$55,000,000",R,"Drama, Romance","Feb 10, 2017"
Girls Trip,"$115,171,585",N/A,N/A,Universal Pictures,"$31,201,920","2,648 theaters","$19,000,000",R,"Adventure, Comedy, Drama","Jul 21, 2017"
Sing,"$270,395,425",N/A,N/A,Universal Pictures,"$35,258,145","4,029 theaters","$75,000,000",PG,"Animation, Comedy, Family, Musical","Dec 21, 2016"
La La Land,"$151,101,803",N/A,N/A,Lionsgate,"$881,104","3,236 theaters","$30,000,000",PG-13,"Comedy, Drama, Music, Musical, Romance",N/A
Wonder,"$132,422,809",N/A,N/A,Lionsgate,"$27,547,866","3,519 theaters",N/A,PG,"Drama, Family","Nov 17, 2017"
Rogue One: A Star Wars Story,"$532,177,324",N/A,N/A,Walt Disney Studios Motion Pictures,"$155,081,681","4,157 theaters","$200,000,000",PG-13,"Action, Adventure, Sci-Fi","Dec 16, 2016"
Transformers: The Last Knight,"$130,168,683",N/A,N/A,Paramount Pictures,"$44,680,073","4,132 theaters","$217,000,000",PG-13,"Action, Adventure, Sci-Fi","Jun 21, 2017"
Split,"$138,291,365",N/A,N/A,Universal Pictures,"$40,010,975","3,373 theaters","$9,000,000",PG-13,"Horror, Thriller","Jan 20, 2017"
War for the Planet of the Apes,"$146,880,162",N/A,N/A,Twentieth Century Fox,"$56,262,929","4,100 theaters","$150,000,000",PG-13,"Action, Adventure, Drama, Sci-Fi, Thriller","Jul 14, 2017"
Cars 3,"$152,901,115",N/A,N/A,Walt Disney Studios Motion Pictures,"$53,688,680","4,256 theaters",N/A,G,"Adventure, Animation, Comedy, Family, Sport","Jun 16, 2017"
Hidden Figures,"$169,607,287",N/A,N/A,Twentieth Century Fox,"$515,499","3,416 theaters","$25,000,000",PG,"Biography, Drama, History",N/A
Kong: Skull Island,"$168,052,812",N/A,N/A,Warner Bros.,"$61,025,472","3,846 theaters","$185,000,000",PG-13,"Action, Adventure, Fantasy, Sci-Fi","Mar 10, 2017"
Jumanji: Welcome to the Jungle,"$404,515,480",N/A,N/A,Sony Pictures Entertainment (SPE),"$36,169,328","3,849 theaters","$90,000,000",PG-13,"Action, Adventure, Comedy, Fantasy","Dec 20, 2017"
Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876",N/A,N/A,Walt Disney Studios Motion Pictures,"$62,983,253","4,276 theaters","$230,000,000",PG-13,"Action, Adventure, Fantasy","May 26, 2017"
The Boss Baby,"$175,003,033",N/A,N/A,Twentieth Century Fox,"$50,198,902","3,829 theaters",N/A,PG,"Adventure, Animation, Comedy, Family, Fantasy","Mar 31, 2017"
Get Out,"$176,040,665",N/A,N/A,Universal Pictures,"$33,377,060","3,143 theaters","$4,500,000",R,"Horror, Mystery, Thriller","Feb 24, 2017"
The Lego Batman Movie,"$175,750,384",N/A,N/A,Warner Bros.,"$53,003,468","4,088 theaters","$80,000,000",PG,"Action, Animation, Comedy, Family","Feb 10, 2017"
Coco,"$210,460,015",N/A,N/A,Walt Disney Studios Motion Pictures,"$50,802,605","3,987 theaters",N/A,PG,"Adventure, Animation, Family, Fantasy, Music, Mystery","Nov 22, 2017"
Dunkirk,"$188,045,546",N/A,N/A,Warner Bros.,"$50,513,488","4,014 theaters","$100,000,000",PG-13,"Action, Drama, History, Thriller, War","Jul 21, 2017"
Justice League,"$229,024,295",N/A,N/A,Warner Bros.,"$93,842,239","4,051 theaters",N/A,PG-13,"Action, Adventure, Fantasy, Sci-Fi","Nov 17, 2017"
The Fate of the Furious,"$226,008,385",N/A,N/A,Universal Pictures,"$98,786,705","4,329 theaters","$250,000,000",PG-13,"Action, Adventure, Crime, Thriller","Apr 14, 2017"
Logan,"$226,277,068",N/A,N/A,Twentieth Century Fox,"$88,411,916","4,071 theaters","$97,000,000",R,"Action, Drama, Sci-Fi, Thriller","Mar 3, 2017"
Despicable Me 3,"$264,624,300",N/A,N/A,Universal Pictures,"$72,434,025","4,535 theaters","$80,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi","Jun 30, 2017"
Thor: Ragnarok,"$315,058,289",N/A,N/A,Walt Disney Studios Motion Pictures,"$122,744,989","4,080 theaters","$180,000,000",PG-13,"Action, Adventure, Comedy, Fantasy, Sci-Fi","Nov 3, 2017"
It,"$327,481,748",N/A,N/A,Warner Bros.,"$123,403,419","4,148 theaters","$35,000,000",R,Horror,"Sep 8, 2017"
Spider-Man: Homecoming,"$334,201,140",N/A,N/A,Sony Pictures Entertainment (SPE),"$117,027,503","4,348 theaters","$175,000,000",PG-13,"Action, Adventure, Sci-Fi","Jul 7, 2017"
Guardians of the Galaxy Vol. 2,"$389,813,101",N/A,N/A,Walt Disney Studios Motion Pictures,"$146,510,104","4,347 theaters","$200,000,000",PG-13,"Action, Adventure, Comedy, Sci-Fi","May 5, 2017"
Wonder Woman,"$412,563,408",N/A,N/A,Warner Bros.,"$103,251,471","4,165 theaters","$149,000,000",PG-13,"Action, Adventure, Fantasy, Sci-Fi, War","Jun 2, 2017"
Beauty and the Beast,"$504,014,165",N/A,N/A,Walt Disney Studios Motion Pictures,"$174,750,616","4,210 theaters","$160,000,000",PG,"Family, Fantasy, Musical, Romance","Mar 17, 2017"
Star Wars: Episode VIII - The Last Jedi,"$620,181,382",N/A,N/A,Walt Disney Studios Motion Pictures,"$220,009,584","4,232 theaters","$317,000,000",PG-13,"Action, Adventure, Fantasy, Sci-Fi","Dec 15, 2017"
Vanguard,"$793,525",N/A,N/A,Gravitas Ventures,"$380,428","1,375 theaters",N/A,PG-13,Action,"Nov 20, 2020"
Sarileru Neekevvaru,"$821,000",N/A,N/A,Great India Films,"$821,000",300 theaters,N/A,N/A,"Action, Comedy, Drama","Jan 10, 2020"
The Goonies,"$825,000",N/A,N/A,Warner Bros.,"$213,000",457 theaters,N/A,N/A,"Adventure, Comedy, Family","Jul 10, 2020"
Cut Throat City,"$855,894",N/A,N/A,Well Go USA Entertainment,"$243,379",389 theaters,N/A,R,"Action, Crime, Drama, Thriller","Aug 21, 2020"
A Hidden Life,"$1,730,597",N/A,N/A,Fox Searchlight Pictures,"$50,383",151 theaters,N/A,PG-13,"Biography, Drama, Romance, War","Dec 13, 2019"
Jay and Silent Bob Reboot,"$4,589,490",N/A,N/A,Saban Films,"$93,520",788 theaters,N/A,R,"Adventure, Comedy","Oct 15, 2019"
National Lampoon's Christmas Vacation,"$871,000",N/A,N/A,Warner Bros.,"$170,000",620 theaters,N/A,N/A,Comedy,"Nov 25, 2020"
Mafia Inc,"$889,863",N/A,N/A,Entertainment One,"$264,939",85 theaters,N/A,N/A,"Crime, Drama","Feb 14, 2020"
All My Life,"$913,935",N/A,N/A,Universal Pictures,"$370,315",970 theaters,N/A,PG-13,"Drama, Romance","Dec 4, 2020"
Becky,"$1,003,700",N/A,N/A,Quiver Distribution,"$209,394",54 theaters,N/A,R,"Action, Crime, Drama, Horror, Thriller","Jun 5, 2020"
The Song of Names,"$1,077,584",N/A,N/A,Sony Pictures Classics,"$39,452",182 theaters,N/A,PG-13,"Drama, Music, Mystery, War","Dec 25, 2019"
The Last Shift,"$1,034,467",N/A,N/A,Stage 6 Films,"$246,491",886 theaters,N/A,R,"Comedy, Drama","Sep 25, 2020"
The Tax Collector,"$1,044,212",N/A,N/A,RLJE Films,"$309,694",138 theaters,N/A,N/A,"Action, Crime, Drama, Thriller","Aug 7, 2020"
Relic,"$1,047,083",N/A,N/A,IFC Films,"$192,352",133 theaters,N/A,R,"Drama, Horror, Mystery, Thriller","Jul 3, 2020"
Love and Monsters,"$1,070,714",N/A,N/A,Paramount Pictures,"$270,302",387 theaters,N/A,PG-13,"Action, Adventure, Comedy, Fantasy, Sci-Fi","Oct 16, 2020"
The Assistant,"$1,100,313",N/A,N/A,Bleecker Street Media,"$79,141",25 theaters,N/A,R,Drama,"Jan 31, 2020"
True to the Game 2,"$1,181,823",N/A,N/A,Faith Media Distribution,"$274,631",281 theaters,N/A,R,Thriller,"Nov 6, 2020"
Train to Busan Presents: Peninsula,"$1,231,407",N/A,N/A,Well Go USA Entertainment,"$118,647",151 theaters,N/A,N/A,"Action, Horror, Thriller","Aug 7, 2020"
Promising Young Woman,"$3,453,780",N/A,N/A,Focus Features,"$719,305","1,448 theaters",N/A,R,"Crime, Drama, Thriller","Dec 25, 2020"
